Cancer id,Cancer label,Population code (ISO/UN),Alpha‑3 code,Population,Sex,Incidence - ASR (World),Mortality - ASR (World),Grouped by
20,Breast,524,NPL,Nepal,0,36.93,21.4,Medium HDI
20,Breast,064,BTN,Bhutan,0,12.5,6.67,Medium HDI
20,Breast,566,NGA,Nigeria,0,143.55,76.6,Low HDI
20,Breast,231,ETH,Ethiopia,0,101.02,61.85,Low HDI
20,Breast,729,SDN,Sudan,0,99.47,55.65,Low HDI
20,Breast,466,MLI,Mali,0,96.97,61.57,Low HDI
20,Breast,140,CAF,Central African Republic,0,95.96,66.47,Low HDI
20,Breast,204,BEN,Benin,0,93.98,54.41,Low HDI
20,Breast,262,DJI,Djibouti,0,92.5,56.47,Low HDI
20,Breast,232,ERI,Eritrea,0,91.7,57.44,Low HDI
20,Breast,984,,Low HDI country,0,90.08,52.7,Low HDI
20,Breast,586,PAK,Pakistan,0,90.06,54.05,Low HDI
20,Breast,768,TGO,Togo,0,85.52,48.13,Low HDI
20,Breast,430,LBR,Liberia,0,85.42,51.63,Low HDI
20,Breast,450,MDG,Madagascar,0,81.6,45.89,Low HDI
20,Breast,686,SEN,Senegal,0,76.24,43.78,Low HDI
20,Breast,004,AFG,Afghanistan,0,75.76,50.47,Low HDI
20,Breast,728,SSD,South Sudan,0,72.26,47.12,Low HDI
20,Breast,834,TZA,"Tanzania, United Republic of",0,71.16,37.74,Low HDI
20,Breast,624,GNB,Guinea-Bissau,0,70.84,45.54,Low HDI
20,Breast,180,COD,"Congo, Democratic People Republic of",0,70.09,42.76,Low HDI
20,Breast,108,BDI,Burundi,0,69.18,44.4,Low HDI
20,Breast,562,NER,Niger,0,68.69,45.84,Low HDI
20,Breast,454,MWI,Malawi,0,66.15,40.33,Low HDI
20,Breast,332,HTI,Haiti,0,64.55,40.22,Low HDI
20,Breast,800,UGA,Uganda,0,62.49,34.94,Low HDI
20,Breast,887,YEM,Yemen,0,60.56,34.86,Low HDI
20,Breast,854,BFA,Burkina Faso,0,59.44,37.53,Low HDI
20,Breast,426,LSO,Lesotho,0,52.79,28.29,Low HDI
20,Breast,508,MOZ,Mozambique,0,51.55,32.29,Low HDI
20,Breast,324,GIN,Guinea,0,42.63,24.8,Low HDI
20,Breast,646,RWA,Rwanda,0,41.84,22.27,Low HDI
20,Breast,148,TCD,Chad,0,32.51,20.78,Low HDI
20,Breast,270,GMB,The Republic of the Gambia,0,27.61,16.41,Low HDI
20,Breast,694,SLE,Sierra Leone,0,17.19,10.86,Low HDI
20,Breast,540,NCL,New Caledonia,0,249.25,48.91,Not applicable
20,Breast,474,MTQ,"France, Martinique",0,206.06,44.96,Not applicable
20,Breast,258,PYF,French Polynesia,0,198.11,67.39,Not applicable
20,Breast,630,PRI,Puerto Rico,0,175.58,41.69,Not applicable
20,Breast,312,GLP,"France, Guadeloupe",0,174.85,46.16,Not applicable
20,Breast,254,GUF,French Guyana,0,157.54,47.93,Not applicable
20,Breast,638,REU,"France, La Réunion",0,150.35,33.58,Not applicable
20,Breast,316,GUM,Guam,0,127.78,53.05,Not applicable
20,Breast,706,SOM,Somalia,0,100.68,69.58,Not applicable
20,Breast,408,PRK,"Korea, Democratic People Republic of",0,83.95,24.68,Not applicable
