Cancer id,Most common site,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,ASR (World) per 100 000
20,Breast,104,Myanmar,MMR,0,1,27.89
20,Breast,678,Sao Tome and Principe,STP,0,1,27.1
20,Breast,604,Peru,PER,0,1,26.6
20,Breast,324,Guinea,GIN,0,1,24.8
20,Breast,408,"Korea, Democratic People Republic of",PRK,0,1,24.68
20,Breast,417,Kyrgyzstan,KGZ,0,1,24.22
20,Breast,072,Botswana,BWA,0,1,22.83
20,Breast,548,Vanuatu,VUT,0,1,22.46
20,Breast,646,Rwanda,RWA,0,1,22.27
20,Breast,222,El Salvador,SLV,0,1,22.07
20,Breast,132,Cape Verde,CPV,0,1,21.76
20,Breast,524,Nepal,NPL,0,1,21.4
20,Breast,682,Saudi Arabia,SAU,0,1,21.39
20,Breast,148,Chad,TCD,0,1,20.78
20,Breast,050,Bangladesh,BGD,0,1,20.63
20,Breast,762,Tajikistan,TJK,0,1,20.4
20,Breast,068,Bolivia,BOL,0,1,20.16
20,Breast,320,Guatemala,GTM,0,1,19.7
20,Breast,156,China,CHN,0,1,17.83
20,Breast,410,"Korea, Republic of",KOR,0,1,16.45
20,Breast,270,The Republic of the Gambia,GMB,0,1,16.41
20,Breast,694,Sierra Leone,SLE,0,1,10.86
20,Breast,496,Mongolia,MNG,0,1,8.34
20,Breast,064,Bhutan,BTN,0,1,6.67
